epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1034.88,0.29687,5.16559,0.24985,0.26697,1.04565,0.99571,1,0.995,0.93914,0.81992,0.82353,0.71049,0.16268,0.39313,3.71006,0.19566,0.32289,0.67097,0.00184556,0.00184556,0.00184556
41,1068.65,0.32627,5.34262,0.25117,0.27514,1.06824,0.99833,1,0.995,0.93821,0.41106,0.41176,0.3605,0.09559,0.44567,4.03756,0.18818,0.2856,0.75994,0.0018416,0.0018416,0.0018416
42,1092.98,0.30567,4.70309,0.22777,0.27299,1.068,0.99802,1,0.995,0.93864,0.55798,0.55882,0.44022,0.11427,0.38401,4.27918,0.17252,0.36947,0.71757,0.00183764,0.00183764,0.00183764
43,1119.79,0.28419,4.71525,0.22703,0.26553,1.0382,0.99799,1,0.995,0.94795,0.46962,0.47059,0.33804,0.10096,0.38832,4.04558,0.17032,0.23449,0.68713,0.00183368,0.00183368,0.00183368
44,1147.22,0.28549,4.48766,0.22013,0.26132,1.02935,0.99839,1,0.995,0.96044,0.61661,0.61765,0.45256,0.10185,0.38283,5.10959,0.17996,0.32604,0.66718,0.00182972,0.00182972,0.00182972
45,1173.96,0.2977,4.77567,0.22717,0.27124,1.04619,0.99834,1,0.995,0.96078,0.64594,0.64706,0.49514,0.12773,0.40994,3.47106,0.17721,0.2698,0.72643,0.00182576,0.00182576,0.00182576
46,1198.21,0.31622,4.69803,0.21742,0.26683,1.07416,0.99768,1,0.995,0.91555,0.58766,0.58824,0.49949,0.15253,0.41451,3.86699,0.20594,0.26902,0.70882,0.0018218,0.0018218,0.0018218
47,1222.06,0.2829,4.51571,0.2156,0.2478,1.03192,0.95245,1,0.995,0.9588,0.58179,0.61765,0.48239,0.1149,0.39585,4.40713,0.20576,0.31353,0.67411,0.00181784,0.00181784,0.00181784
48,1245.96,0.29071,4.63943,0.22548,0.24898,1.02604,0.99754,1,0.995,0.92458,0.61695,0.61765,0.51514,0.17475,0.51929,4.19692,0.21288,0.34418,0.88049,0.00181388,0.00181388,0.00181388
49,1274.25,0.26425,4.42918,0.21646,0.24975,0.99737,0.97126,1,0.995,0.94504,0.54817,0.55882,0.41471,0.12005,0.4314,3.94257,0.17711,0.28793,0.74588,0.00180992,0.00180992,0.00180992
50,1298.21,0.28488,4.1944,0.2069,0.24686,1.04728,0.99767,1,0.995,0.9405,0.56965,0.55882,0.4251,0.09957,0.62717,4.55597,0.17264,0.31145,0.99933,0.00180596,0.00180596,0.00180596
51,1322.33,0.3145,4.83827,0.22634,0.27522,1.0778,0.99813,1,0.995,0.96881,0.20752,0.20588,0.10477,0.0348,0.34655,6.20292,0.17905,0.34448,0.63668,0.001802,0.001802,0.001802
52,1347.88,0.27461,4.3238,0.19964,0.26832,1.03631,0.99613,1,0.995,0.93699,0.52727,0.52941,0.40287,0.0861,0.36611,4.46318,0.18068,0.30544,0.6749,0.00179804,0.00179804,0.00179804
53,1371.59,0.28554,4.09979,0.20795,0.27249,1.02272,0.9946,1,0.995,0.95139,0.84811,0.85294,0.79066,0.26103,0.39142,3.64766,0.18488,0.30832,0.68313,0.00179408,0.00179408,0.00179408
54,1398.22,0.26936,4.33991,0.19729,0.24977,1.01583,0.9984,1,0.995,0.94046,0.82221,0.82353,0.75014,0.25226,0.38768,3.68172,0.17639,0.30766,0.69726,0.00179012,0.00179012,0.00179012
55,1423.68,0.28877,3.82821,0.21048,0.26271,1.02965,0.99734,1,0.995,0.92312,0.7919,0.79412,0.71101,0.18542,0.42112,3.14477,0.16543,0.30793,0.76896,0.00178616,0.00178616,0.00178616
56,1447.42,0.26739,3.92511,0.19597,0.23285,1.05506,0.99833,1,0.995,0.96368,0.7634,0.76471,0.67922,0.19009,0.3478,2.98681,0.15939,0.26883,0.65119,0.0017822,0.0017822,0.0017822
57,1471.32,0.29985,4.11878,0.20714,0.26604,1.01736,0.9984,1,0.995,0.96456,0.793,0.79412,0.77761,0.2233,0.31546,3.56742,0.16468,0.30784,0.63384,0.00177824,0.00177824,0.00177824
58,1494.92,0.26815,3.83269,0.19574,0.25682,1.0088,0.99839,1,0.995,0.94883,0.8222,0.82353,0.70938,0.22187,0.39485,3.09725,0.1551,0.30299,0.6999,0.00177428,0.00177428,0.00177428
59,1518.58,0.27466,4.04726,0.19676,0.24879,0.99312,0.9984,1,0.995,0.94169,0.23521,0.23529,0.13231,0.02848,0.4089,4.56847,0.16301,0.28721,0.6711,0.00177032,0.00177032,0.00177032
60,1543.05,0.26768,4.00854,0.18653,0.24407,1.00704,0.99826,1,0.995,0.96237,0.76332,0.76471,0.61851,0.19662,0.37183,3.24116,0.15886,0.25821,0.6593,0.00176636,0.00176636,0.00176636
61,1567.12,0.27366,3.87791,0.18638,0.251,1.00905,0.99836,1,0.995,0.94879,0.82215,0.82353,0.72807,0.16362,0.39277,3.31185,0.16236,0.2828,0.66263,0.0017624,0.0017624,0.0017624
62,1591.37,0.26491,3.5277,0.20013,0.24569,1.02593,0.99817,1,0.995,0.96791,0.61742,0.61765,0.56158,0.1913,0.35735,3.02237,0.17061,0.24608,0.63692,0.00175844,0.00175844,0.00175844
63,1615.28,0.25421,3.42109,0.1826,0.24616,0.99871,0.99788,1,0.995,0.95956,0.70485,0.70588,0.61646,0.17513,0.33199,3.72801,0.17648,0.32488,0.64089,0.00175448,0.00175448,0.00175448
64,1640.84,0.24713,3.78205,0.18416,0.2436,1.01085,0.99793,1,0.995,0.96116,0.76291,0.76471,0.69913,0.19916,0.35324,3.54611,0.17536,0.24285,0.6441,0.00175052,0.00175052,0.00175052
65,1664.55,0.26245,3.50477,0.18191,0.24661,1.01261,0.9984,1,0.995,0.94471,0.88155,0.88235,0.84787,0.29041,0.40463,3.31008,0.16605,0.31175,0.68602,0.00174656,0.00174656,0.00174656
66,1693.86,0.26017,3.43856,0.18276,0.24081,0.99498,0.99822,1,0.995,0.96777,0.82204,0.82353,0.80912,0.2817,0.32394,3.15515,0.15706,0.32041,0.60414,0.0017426,0.0017426,0.0017426
67,1726.82,0.26566,3.28497,0.18222,0.2507,0.99566,0.97067,1,0.995,0.93301,0.94205,0.97059,0.96154,0.42126,0.38472,2.43656,0.15002,0.23665,0.67375,0.00173864,0.00173864,0.00173864
